Obszar,Czynnik,Przykład,Instytut badawczy,źródło 1,żródło 2
Wynagrodzenia i benefity,Wynagrodzenia zasadnicze,"Wynagrodzenie zasadnicze jest jednym z kluczowych czynników wpływających na retencję pracowników. Badania Harvard University wykazały, że nawet niewielki wzrost stawki godzinowej (np. o 1 USD) może zwiększyć wskaźnik retencji o 2,8%, podczas gdy obniżka tej samej wielkości powoduje wzrost rotacji aż o 28%",Harvard University,https://www.linkedin.com/pulse/relationship-between-compensation-retention-tsgcorp-nladc/,
,,"Badanie przeprowadzone przez Harvard Business Review wykazało, że przejrzystość wynagrodzeń wzmacnia lojalność – firmy stosujące transparentność płac odnotowały nawet 21% wzrost retencji",Harvard Business Review,"https://blogs.psico-smart.com/blog-what-are-the-longterm-impacts-of-salary-transparency-on-employee-reten-189546#:~:text=Recent%20studies%20have%20increasingly,that%20organizations%20that%20openly",
,Premie i bonusy,"Studium przypadku wdrożenia innowacyjnych systemów premiowych (np. grywalizacja) w polskich firmach, które przyniosły wzrost zaangażowania o 50% i wzrost wydajności o 48%",United Insurance,https://www.humanresourcestoday.com/bonuses-and-incentives/case-study/,
,Benefity pozapłacowe,"Ponad 40% pracowników deklaruje, że ich lojalność wzrosłaby, gdyby mogli samodzielnie wybierać benefity",,"https://unitedinsurance.net/publications/5-critical-statistics-about-benefits-and-employee-retention/#:~:text=Over%2040%25%20of%20workers,to%20meet%20their%20individual",
,Nagrody rzeczowe,Programy oparte na nagrodach rzeczowych mogą zwiększyć wydajność pracowników nawet o 27% – taki wzrost odnotowano w meta-analizie programów konkurencyjnych nagród,,"https://bucketlistrewards.com/blog/stats-that-prove-why-investing-in-an-employee-rewards-recognition-program-is-a-no-brainer/#:~:text=A%20meta%2Danalysis%20of%20employee,employee%20performance.%20Just%20improving",
Wpływ i znaczenie pracy,Poczucie wpływu na otoczenie,"94% pracowników, którzy czują się docenieni i mają poczucie wpływu, deklaruje wysoką satysfakcję z pracy",,"https://nectarhr.com/blog/employee-recognition-statistics#:~:text=87%25%20Of%20The%20Employees,an%20important%20measure%20of",
,,"56% wzrostu produktywności notuje się, gdy cele pracowników są jasno powiązane z celami firmy",,"https://high5test.com/employee-motivation-statistics/#:~:text=%2D%2056%25%20increase%20in,communication%20and%20expectations%20boosts",
,,"Pracownicy, którzy czują, że ich praca ma sens i wpływ, są o 20% bardziej produktywni",,"https://www.hrcloud.com/blog/20-employee-engagement-statistics-you-need-to-know#:~:text=A%20study%20by%20the,for%20their%20work.%20Also%2C",
,Zgodność celów osobistych z organizacyjnymi,"Firmy o wysokim poziomie zgodności celów rozwijają się o 58% szybciej i są o 72% bardziej rentowne niż organizacje, w których cele są niespójne",,https://mirro.io/blog/organizational-goal-alignment/#:~:text=how%20to%20achieve%20goal%20alignment%20in%20performance,
,,Organizacje z wysoką klarownością i spójnością celów mają o 25% wyższy wskaźnik retencji pracowników,,https://blogs.vorecol.com/blog-the-relationship-between-goal-clarity-and-employee-retention-rates-182396,
,,"Firmy, które skutecznie wdrażają strategię zgodności celów, notują wzrost efektywności zespołów nawet o 60%, a indywidualna wydajność może wzrosnąć o 22%",,"https://www.skillcycle.com/blog/aligning-company-and-employee-goals-for-high-performance/#:~:text=When%20team%20members%27%20goals,to%2022%25%2C%20according%20to",
,,"Pracownicy, którzy rozumieją, jak ich praca wpływa na realizację celów firmy, są 3,5 razy bardziej zaangażowani",,https://mirro.io/blog/organizational-goal-alignment/#:~:text=how%20to%20achieve%20goal%20alignment%20in%20performance,
,Możliwość zgłaszania pomysłów,"Pracownicy, którzy otrzymują feedback na temat swoich pomysłów, są 4x bardziej zaangażowani",,"https://www.peoplebox.ai/blog/performance-management-statistics/#:~:text=Meaningful%20feedback%20boosts%20employee,past%20week%20are%20fully",
,,"Tylko 21% pracowników na świecie deklaruje wysoki poziom zaangażowania – systemy sugestii są jednym z narzędzi, które mogą ten wskaźnik poprawić",Gallup,"https://enterprisealumni.com/research/employee-engagement#:~:text=According%20to%20Gallup%2C%20only,higher%20profits%20than%20businesses","https://teambuilding.com/blog/employee-engagement-statistics#:~:text=1.%2015%25%20of%20employees,actively%20engaged%20in%20their"
